Property,Squat,Bench Press,Deadlift,Total Lifted,Running,Biking,Swimming,Body Weight,Time Awake,Sleep,Calories,Max,Work,Date
2024/09/09,110,,143,41643,4.2,,,,,,,Yes,,"September 9, 2024"
2024/09/10,,,,,,,,,,,,No,,"September 10, 2024"
2024/09/08,121,110,0,49163,4,,0,0,,,0,Yes,0,"September 8, 2024"
2024/08/31,0,0,0,,0,,0,0,,,0,No,0,"August 31, 2024"
2024/08/25,0,0,0,,0,,0,0,,,0,No,0,"August 25, 2024"
2024/08/28,0,0,0,,0,,0,0,,,0,No,0,"August 28, 2024"
2024/09/01,0,0,0,,0,,0,0,,,0,No,0,"September 1, 2024"
2024/09/05,0,0,0,,0,,0,0,,,0,No,0,"September 5, 2024"
2024/08/24,0,0,0,,0,,0,0,,,0,No,0,"August 24, 2024"
2024/08/29,0,0,0,,0,,0,0,,,0,No,0,"August 29, 2024"
2024/08/30,0,0,0,,0,,0,0,,,0,No,0,"August 30, 2024"
2024/09/04,110,0,135,43651,5.34,,0,0,,,0,No,0,"September 4, 2024"
2024/09/06,0,0,0,,0,,0,0,,,0,No,0,"September 6, 2024"
2024/08/23,0,0,0,,0,,0,0,,,0,No,0,"August 23, 2024"
2024/09/03,0,0,0,,0,,0,0,,,0,No,0,"September 3, 2024"
2024/08/27,0,0,0,,0,,0,0,,,0,No,0,"August 27, 2024"
2024/09/02,0,0,0,,0,,0,0,,,0,No,0,"September 2, 2024"
2024/08/26,0,0,0,,0,,0,0,,,0,No,0,"August 26, 2024"
2024/08/18,0,0,0,,0,,0,0,,,0,No,0,"August 18, 2024"
2024/08/07,0,0,0,,0,,0,0,,,0,No,0,"August 7, 2024"
2024/08/14,0,0,0,,0,,0,0,,,0,No,0,"August 14, 2024"
2024/08/20,0,0,0,,0,,0,0,,,0,No,0,"August 20, 2024"
2024/08/13,0,0,0,,0,,0,0,,,0,No,0,"August 13, 2024"
2024/08/09,0,0,0,,0,,0,0,,,0,No,0,"August 9, 2024"
2024/08/11,0,0,0,,0,,0,0,,,0,No,0,"August 11, 2024"
2024/08/22,0,0,0,,0,,0,0,,,0,No,0,"August 22, 2024"
2024/08/21,0,0,0,,0,,0,0,,,0,No,0,"August 21, 2024"
2024/08/08,0,0,0,,0,,0,0,,,0,No,0,"August 8, 2024"
2024/08/17,0,0,0,,0,,0,0,,,0,No,0,"August 17, 2024"
2024/08/16,0,0,0,,0,,0,0,,,0,No,0,"August 16, 2024"
2024/08/10,0,0,0,,0,,0,0,,,0,No,0,"August 10, 2024"
2024/08/19,0,0,0,,0,,0,0,,,0,No,0,"August 19, 2024"
2024/08/12,0,0,0,,0,,0,0,,,0,No,0,"August 12, 2024"
2024/08/15,0,0,0,,0,,0,0,,,0,No,0,"August 15, 2024"
2024/07/25,0,0,0,,0,,0,0,,,0,No,0,"July 25, 2024"
2024/07/30,0,0,0,,0,,0,0,,,0,No,0,"July 30, 2024"
2024/07/28,0,0,0,,0,,0,0,,,0,No,0,"July 28, 2024"
2024/07/24,0,0,0,,0,,0,0,,,0,No,0,"July 24, 2024"
2024/08/06,0,0,0,,0,,0,0,,,0,No,0,"August 6, 2024"
2024/07/27,0,0,0,,0,,0,0,,,0,No,0,"July 27, 2024"
2024/08/01,0,0,0,,0,,0,0,,,0,No,0,"August 1, 2024"
2024/08/05,0,0,0,,0,,0,0,,,0,No,0,"August 5, 2024"
2024/08/02,0,0,0,,0,,0,0,,,0,No,0,"August 2, 2024"
2024/08/03,0,0,0,,0,,0,0,,,0,No,0,"August 3, 2024"
2024/07/26,0,0,0,,0,,0,0,,,0,No,0,"July 26, 2024"
2024/07/29,0,0,0,,0,,0,0,,,0,No,0,"July 29, 2024"
2024/08/04,0,0,0,,0,,0,0,,,0,No,0,"August 4, 2024"
2024/07/31,0,0,0,,0,,0,0,,,0,No,0,"July 31, 2024"
2024/07/17,0,0,0,,0,,0,0,,,0,No,0,"July 17, 2024"
2024/07/23,0,0,0,,0,,0,0,,,0,No,0,"July 23, 2024"
2024/07/14,0,0,0,,0,,0,0,,,0,No,0,"July 14, 2024"
2024/07/20,0,0,0,,0,,0,0,,,0,No,0,"July 20, 2024"
2024/07/22,0,0,0,,0,,0,0,,,0,No,0,"July 22, 2024"
2024/07/15,0,0,0,,0,,0,0,,,0,No,0,"July 15, 2024"
2024/07/16,0,0,0,,0,,0,0,,,0,No,0,"July 16, 2024"
2024/07/18,0,0,0,,0,,0,0,,,0,No,0,"July 18, 2024"
2024/07/19,0,0,0,,0,,0,0,,,0,No,0,"July 19, 2024"
2024/07/21,0,0,0,,0,,0,0,,,0,No,0,"July 21, 2024"
2024/07/13,0,0,0,,0,,0,0,,,0,No,0,"July 13, 2024"
2024/07/04,0,0,0,,0,,0,0,,,0,No,0,"July 4, 2024"
2024/07/12,0,0,0,,0,,0,0,,,0,No,0,"July 12, 2024"
2024/07/05,0,0,0,,0,,0,0,,,0,No,0,"July 5, 2024"
2024/07/07,0,0,0,,0,,0,0,,,0,No,0,"July 7, 2024"
2024/07/10,0,0,0,,0,,0,0,,,0,No,0,"July 10, 2024"
2024/07/06,0,0,0,,0,,0,0,,,0,No,0,"July 6, 2024"
2024/07/11,0,0,0,,0,,0,0,,,0,No,0,"July 11, 2024"
2024/07/08,0,0,0,,0,,0,0,,,0,No,0,"July 8, 2024"
2024/07/09,0,0,0,,0,,0,0,,,0,No,0,"July 9, 2024"
2024/06/23,0,0,0,,0,,0,0,,,0,No,0,"June 23, 2024"
2024/07/02,0,0,0,,0,,0,0,,,0,No,0,"July 2, 2024"
2024/07/03,0,0,0,,0,,0,0,,,0,No,0,"July 3, 2024"
2024/06/30,0,0,0,,0,,0,0,,,0,No,0,"June 30, 2024"
2024/06/24,0,0,0,,0,,0,0,,,0,No,0,"June 24, 2024"
2024/06/27,0,0,0,,0,,0,0,,,0,No,0,"June 27, 2024"
2024/06/28,0,0,0,,0,,0,0,,,0,No,0,"June 28, 2024"
2024/06/26,0,0,0,,0,,0,0,,,0,No,0,"June 26, 2024"
